Iteration;Value;Population;Vector_len;Test;Mutation
0;-1.5397181418447494;12;4;michalewicz;de_best_1
1;-1.5397181418447494;12;4;michalewicz;de_best_1
2;-1.5397181418447494;12;4;michalewicz;de_best_1
3;-1.5397181418447494;12;4;michalewicz;de_best_1
4;-1.5397181418447494;12;4;michalewicz;de_best_1
5;-1.5397181418447494;12;4;michalewicz;de_best_1
6;-1.5397181418447494;12;4;michalewicz;de_best_1
7;-1.5397181418447494;12;4;michalewicz;de_best_1
8;-1.5397181418447494;12;4;michalewicz;de_best_1
9;-1.5397181418447494;12;4;michalewicz;de_best_1
10;-1.5397181418447494;12;4;michalewicz;de_best_1
11;-1.5397181418447494;12;4;michalewicz;de_best_1
12;-1.5397181418447494;12;4;michalewicz;de_best_1
13;-1.5397181418447494;12;4;michalewicz;de_best_1
14;-1.5397181418447494;12;4;michalewicz;de_best_1
15;-1.5397181418447494;12;4;michalewicz;de_best_1
16;-1.5397181418447494;12;4;michalewicz;de_best_1
17;-1.5397181418447494;12;4;michalewicz;de_best_1
18;-1.5397181418447494;12;4;michalewicz;de_best_1
19;-1.5397181418447494;12;4;michalewicz;de_best_1
20;-1.5397181418447494;12;4;michalewicz;de_best_1
21;-1.5397181418447494;12;4;michalewicz;de_best_1
22;-1.5397181418447494;12;4;michalewicz;de_best_1
23;-1.5397181418447494;12;4;michalewicz;de_best_1
24;-1.5397181418447494;12;4;michalewicz;de_best_1
25;-1.5397181418447494;12;4;michalewicz;de_best_1
26;-1.5397181418447494;12;4;michalewicz;de_best_1
27;-1.5397181418447494;12;4;michalewicz;de_best_1
28;-1.5397181418447494;12;4;michalewicz;de_best_1
29;-1.5397181418447494;12;4;michalewicz;de_best_1
30;-1.5397181418447494;12;4;michalewicz;de_best_1
31;-1.5397181418447494;12;4;michalewicz;de_best_1
32;-1.5397181418447494;12;4;michalewicz;de_best_1
33;-1.5397181418447494;12;4;michalewicz;de_best_1
34;-1.5397181418447494;12;4;michalewicz;de_best_1
35;-1.5397181418447494;12;4;michalewicz;de_best_1
36;-1.5397181418447494;12;4;michalewicz;de_best_1
37;-1.5397181418447494;12;4;michalewicz;de_best_1
38;-1.5397181418447494;12;4;michalewicz;de_best_1
39;-1.5397181418447494;12;4;michalewicz;de_best_1
40;-1.5397181418447494;12;4;michalewicz;de_best_1
41;-1.5397181418447494;12;4;michalewicz;de_best_1
42;-1.5397181418447494;12;4;michalewicz;de_best_1
43;-1.5397181418447494;12;4;michalewicz;de_best_1
44;-1.5397181418447494;12;4;michalewicz;de_best_1
45;-1.5397181418447494;12;4;michalewicz;de_best_1
46;-1.5397181418447494;12;4;michalewicz;de_best_1
47;-1.5397181418447494;12;4;michalewicz;de_best_1
48;-1.5397181418447494;12;4;michalewicz;de_best_1
49;-1.5397181418447494;12;4;michalewicz;de_best_1
50;-1.5397181418447494;12;4;michalewicz;de_best_1
51;-1.5397181418447494;12;4;michalewicz;de_best_1
52;-1.5397181418447494;12;4;michalewicz;de_best_1
53;-1.5397181418447494;12;4;michalewicz;de_best_1
54;-1.5397181418447494;12;4;michalewicz;de_best_1
55;-1.5397181418447494;12;4;michalewicz;de_best_1
56;-1.5397181418447494;12;4;michalewicz;de_best_1
57;-1.5397181418447494;12;4;michalewicz;de_best_1
58;-1.5397181418447494;12;4;michalewicz;de_best_1
59;-1.5397181418447494;12;4;michalewicz;de_best_1
60;-1.5397181418447494;12;4;michalewicz;de_best_1
61;-1.5397181418447494;12;4;michalewicz;de_best_1
62;-1.5397181418447494;12;4;michalewicz;de_best_1
63;-1.5397181418447494;12;4;michalewicz;de_best_1
64;-1.5397181418447494;12;4;michalewicz;de_best_1
65;-1.5397181418447494;12;4;michalewicz;de_best_1
66;-1.5397181418447494;12;4;michalewicz;de_best_1
67;-1.5397181418447494;12;4;michalewicz;de_best_1
68;-1.5397181418447494;12;4;michalewicz;de_best_1
69;-1.5397181418447494;12;4;michalewicz;de_best_1
70;-1.5397181418447494;12;4;michalewicz;de_best_1
71;-1.5397181418447494;12;4;michalewicz;de_best_1
72;-1.5397181418447494;12;4;michalewicz;de_best_1
73;-1.5397181418447494;12;4;michalewicz;de_best_1
74;-1.5397181418447494;12;4;michalewicz;de_best_1
75;-1.5397181418447494;12;4;michalewicz;de_best_1
76;-1.5397181418447494;12;4;michalewicz;de_best_1
77;-1.5397181418447494;12;4;michalewicz;de_best_1
78;-1.5397181418447494;12;4;michalewicz;de_best_1
79;-1.5397181418447494;12;4;michalewicz;de_best_1
80;-1.5397181418447494;12;4;michalewicz;de_best_1
81;-1.5397181418447494;12;4;michalewicz;de_best_1
82;-1.5397181418447494;12;4;michalewicz;de_best_1
83;-1.5397181418447494;12;4;michalewicz;de_best_1
84;-1.5397181418447494;12;4;michalewicz;de_best_1
85;-1.5397181418447494;12;4;michalewicz;de_best_1
86;-1.5397181418447494;12;4;michalewicz;de_best_1
87;-1.5397181418447494;12;4;michalewicz;de_best_1
88;-1.5397181418447494;12;4;michalewicz;de_best_1
89;-1.5397181418447494;12;4;michalewicz;de_best_1
90;-1.5397181418447494;12;4;michalewicz;de_best_1
91;-1.5397181418447494;12;4;michalewicz;de_best_1
92;-1.5397181418447494;12;4;michalewicz;de_best_1
93;-1.5397181418447494;12;4;michalewicz;de_best_1
94;-1.5397181418447494;12;4;michalewicz;de_best_1
95;-1.5397181418447494;12;4;michalewicz;de_best_1
96;-1.5397181418447494;12;4;michalewicz;de_best_1
97;-1.5397181418447494;12;4;michalewicz;de_best_1
98;-1.5397181418447494;12;4;michalewicz;de_best_1
99;-1.5397181418447494;12;4;michalewicz;de_best_1
0;0.01326403432357384;12;4;michalewicz;de_best_2
1;0.01326403432357384;12;4;michalewicz;de_best_2
2;0.01326403432357384;12;4;michalewicz;de_best_2
3;0.01326403432357384;12;4;michalewicz;de_best_2
4;0.01326403432357384;12;4;michalewicz;de_best_2
5;0.01326403432357384;12;4;michalewicz;de_best_2
6;0.01326403432357384;12;4;michalewicz;de_best_2
7;0.01326403432357384;12;4;michalewicz;de_best_2
8;0.01326403432357384;12;4;michalewicz;de_best_2
9;0.01326403432357384;12;4;michalewicz;de_best_2
10;0.005017916695945383;12;4;michalewicz;de_best_2
11;0.005017916695945383;12;4;michalewicz;de_best_2
12;0.005017916695945383;12;4;michalewicz;de_best_2
13;0.005017916695945383;12;4;michalewicz;de_best_2
14;0.005017916695945383;12;4;michalewicz;de_best_2
15;0.005017916695945383;12;4;michalewicz;de_best_2
16;0.005017916695945383;12;4;michalewicz;de_best_2
17;0.005017916695945383;12;4;michalewicz;de_best_2
18;0.005017916695945383;12;4;michalewicz;de_best_2
19;0.005017916695945383;12;4;michalewicz;de_best_2
20;0.005017916695945383;12;4;michalewicz;de_best_2
21;0.0007427201652664417;12;4;michalewicz;de_best_2
22;0.0007427201652664417;12;4;michalewicz;de_best_2
23;0.0007427201652664417;12;4;michalewicz;de_best_2
24;0.0007427201652664417;12;4;michalewicz;de_best_2
25;0.0007427201652664417;12;4;michalewicz;de_best_2
26;0.0007427201652664417;12;4;michalewicz;de_best_2
27;0.0007427201652664417;12;4;michalewicz;de_best_2
28;0.0007427201652664417;12;4;michalewicz;de_best_2
29;0.0007427201652664417;12;4;michalewicz;de_best_2
30;0.0007427201652664417;12;4;michalewicz;de_best_2
31;0.0007427201652664417;12;4;michalewicz;de_best_2
32;0.0007427201652664417;12;4;michalewicz;de_best_2
33;0.0007427201652664417;12;4;michalewicz;de_best_2
34;0.0007427201652664417;12;4;michalewicz;de_best_2
35;0.0007427201652664417;12;4;michalewicz;de_best_2
36;0.0007427201652664417;12;4;michalewicz;de_best_2
37;0.0007427201652664417;12;4;michalewicz;de_best_2
38;0.0007427201652664417;12;4;michalewicz;de_best_2
39;0.0007427201652664417;12;4;michalewicz;de_best_2
40;0.0007427201652664417;12;4;michalewicz;de_best_2
41;0.0007427201652664417;12;4;michalewicz;de_best_2
42;0.0007427201652664417;12;4;michalewicz;de_best_2
43;0.0007427201652664417;12;4;michalewicz;de_best_2
44;0.0007427201652664417;12;4;michalewicz;de_best_2
45;0.0007427201652664417;12;4;michalewicz;de_best_2
46;0.0007427201652664417;12;4;michalewicz;de_best_2
47;0.0007427201652664417;12;4;michalewicz;de_best_2
48;0.0007427201652664417;12;4;michalewicz;de_best_2
49;0.0007427201652664417;12;4;michalewicz;de_best_2
50;0.0007427201652664417;12;4;michalewicz;de_best_2
51;0.0007427201652664417;12;4;michalewicz;de_best_2
52;0.0007427201652664417;12;4;michalewicz;de_best_2
53;0.0007427201652664417;12;4;michalewicz;de_best_2
54;0.0007427201652664417;12;4;michalewicz;de_best_2
55;0.0007427201652664417;12;4;michalewicz;de_best_2
56;0.0007427201652664417;12;4;michalewicz;de_best_2
57;0.0007427201652664417;12;4;michalewicz;de_best_2
58;0.0007427201652664417;12;4;michalewicz;de_best_2
59;0.0007427201652664417;12;4;michalewicz;de_best_2
60;0.0007427201652664417;12;4;michalewicz;de_best_2
61;0.0007427201652664417;12;4;michalewicz;de_best_2
62;0.0007427201652664417;12;4;michalewicz;de_best_2
63;0.0007427201652664417;12;4;michalewicz;de_best_2
64;0.0007427201652664417;12;4;michalewicz;de_best_2
65;0.0007427201652664417;12;4;michalewicz;de_best_2
66;0.0007427201652664417;12;4;michalewicz;de_best_2
