Iteration;Value;Population;Vector_len;Test;Mutation
22;3.9697220492957412;12;8;michalewicz;de_best_2
23;3.9697220492957412;12;8;michalewicz;de_best_2
24;3.9697220492957412;12;8;michalewicz;de_best_2
25;3.9697220492957412;12;8;michalewicz;de_best_2
26;3.9697220492957412;12;8;michalewicz;de_best_2
27;3.9697220492957412;12;8;michalewicz;de_best_2
28;3.9697220492957412;12;8;michalewicz;de_best_2
29;3.9697220492957412;12;8;michalewicz;de_best_2
30;3.9697220492957412;12;8;michalewicz;de_best_2
31;3.9697220492957412;12;8;michalewicz;de_best_2
32;3.9697220492957412;12;8;michalewicz;de_best_2
33;3.9697220492957412;12;8;michalewicz;de_best_2
34;4.446753029063293;12;8;michalewicz;de_best_2
35;4.446753029063293;12;8;michalewicz;de_best_2
36;4.446753029063293;12;8;michalewicz;de_best_2
37;4.446753029063293;12;8;michalewicz;de_best_2
38;4.446753029063293;12;8;michalewicz;de_best_2
39;4.446753029063293;12;8;michalewicz;de_best_2
40;4.446753029063293;12;8;michalewicz;de_best_2
41;4.446753029063293;12;8;michalewicz;de_best_2
42;4.446753029063293;12;8;michalewicz;de_best_2
43;4.446753029063293;12;8;michalewicz;de_best_2
44;4.446753029063293;12;8;michalewicz;de_best_2
45;4.446753029063293;12;8;michalewicz;de_best_2
46;4.446753029063293;12;8;michalewicz;de_best_2
47;4.446753029063293;12;8;michalewicz;de_best_2
48;4.446753029063293;12;8;michalewicz;de_best_2
49;4.446753029063293;12;8;michalewicz;de_best_2
50;4.446753029063293;12;8;michalewicz;de_best_2
51;4.446753029063293;12;8;michalewicz;de_best_2
52;4.446753029063293;12;8;michalewicz;de_best_2
53;4.446753029063293;12;8;michalewicz;de_best_2
54;4.446753029063293;12;8;michalewicz;de_best_2
55;4.446753029063293;12;8;michalewicz;de_best_2
56;4.446753029063293;12;8;michalewicz;de_best_2
57;4.446753029063293;12;8;michalewicz;de_best_2
58;4.446753029063293;12;8;michalewicz;de_best_2
59;4.446753029063293;12;8;michalewicz;de_best_2
60;4.446753029063293;12;8;michalewicz;de_best_2
61;4.446753029063293;12;8;michalewicz;de_best_2
62;4.446753029063293;12;8;michalewicz;de_best_2
63;4.446753029063293;12;8;michalewicz;de_best_2
64;4.446753029063293;12;8;michalewicz;de_best_2
65;4.446753029063293;12;8;michalewicz;de_best_2
66;4.446753029063293;12;8;michalewicz;de_best_2
67;4.446753029063293;12;8;michalewicz;de_best_2
68;4.446753029063293;12;8;michalewicz;de_best_2
69;4.446753029063293;12;8;michalewicz;de_best_2
70;4.446753029063293;12;8;michalewicz;de_best_2
71;4.446753029063293;12;8;michalewicz;de_best_2
72;4.446753029063293;12;8;michalewicz;de_best_2
73;4.446753029063293;12;8;michalewicz;de_best_2
74;4.446753029063293;12;8;michalewicz;de_best_2
75;4.446753029063293;12;8;michalewicz;de_best_2
76;4.446753029063293;12;8;michalewicz;de_best_2
77;4.446753029063293;12;8;michalewicz;de_best_2
78;4.446753029063293;12;8;michalewicz;de_best_2
79;4.446753029063293;12;8;michalewicz;de_best_2
80;4.446753029063293;12;8;michalewicz;de_best_2
81;4.446753029063293;12;8;michalewicz;de_best_2
82;4.446753029063293;12;8;michalewicz;de_best_2
83;4.446753029063293;12;8;michalewicz;de_best_2
84;4.446753029063293;12;8;michalewicz;de_best_2
85;4.446753029063293;12;8;michalewicz;de_best_2
86;4.446753029063293;12;8;michalewicz;de_best_2
87;4.446753029063293;12;8;michalewicz;de_best_2
88;4.446753029063293;12;8;michalewicz;de_best_2
89;4.446753029063293;12;8;michalewicz;de_best_2
90;4.446753029063293;12;8;michalewicz;de_best_2
91;4.446753029063293;12;8;michalewicz;de_best_2
92;4.446753029063293;12;8;michalewicz;de_best_2
93;4.446753029063293;12;8;michalewicz;de_best_2
94;4.446753029063293;12;8;michalewicz;de_best_2
95;4.446753029063293;12;8;michalewicz;de_best_2
96;4.446753029063293;12;8;michalewicz;de_best_2
97;4.446753029063293;12;8;michalewicz;de_best_2
98;4.446753029063293;12;8;michalewicz;de_best_2
99;4.446753029063293;12;8;michalewicz;de_best_2
0;2.268687500339964;12;12;michalewicz;de_best_2
1;2.4945442751137477;12;12;michalewicz;de_best_2
2;2.4945442751137477;12;12;michalewicz;de_best_2
3;3.003995133829334;12;12;michalewicz;de_best_2
4;3.003995133829334;12;12;michalewicz;de_best_2
5;3.003995133829334;12;12;michalewicz;de_best_2
6;3.821398334483906;12;12;michalewicz;de_best_2
7;3.840286573414763;12;12;michalewicz;de_best_2
8;3.840286573414763;12;12;michalewicz;de_best_2
9;3.840286573414763;12;12;michalewicz;de_best_2
10;3.840286573414763;12;12;michalewicz;de_best_2
11;3.840286573414763;12;12;michalewicz;de_best_2
12;3.840286573414763;12;12;michalewicz;de_best_2
13;3.840286573414763;12;12;michalewicz;de_best_2
14;3.840286573414763;12;12;michalewicz;de_best_2
15;3.840286573414763;12;12;michalewicz;de_best_2
16;3.840286573414763;12;12;michalewicz;de_best_2
17;3.840286573414763;12;12;michalewicz;de_best_2
18;3.840286573414763;12;12;michalewicz;de_best_2
19;3.840286573414763;12;12;michalewicz;de_best_2
20;3.840286573414763;12;12;michalewicz;de_best_2
21;3.840286573414763;12;12;michalewicz;de_best_2
22;3.840286573414763;12;12;michalewicz;de_best_2
23;3.840286573414763;12;12;michalewicz;de_best_2
24;3.840286573414763;12;12;michalewicz;de_best_2
25;3.840286573414763;12;12;michalewicz;de_best_2
26;3.840286573414763;12;12;michalewicz;de_best_2
27;3.840286573414763;12;12;michalewicz;de_best_2
28;3.840286573414763;12;12;michalewicz;de_best_2
29;3.840286573414763;12;12;michalewicz;de_best_2
30;4.793941181333249;12;12;michalewicz;de_best_2
31;5.415875767440208;12;12;michalewicz;de_best_2
32;5.415875767440208;12;12;michalewicz;de_best_2
33;5.415875767440208;12;12;michalewicz;de_best_2
34;5.415875767440208;12;12;michalewicz;de_best_2
35;5.415875767440208;12;12;michalewicz;de_best_2
36;5.415875767440208;12;12;michalewicz;de_best_2
37;5.415875767440208;12;12;michalewicz;de_best_2
38;5.415875767440208;12;12;michalewicz;de_best_2
39;5.415875767440208;12;12;michalewicz;de_best_2
40;5.415875767440208;12;12;michalewicz;de_best_2
41;5.415875767440208;12;12;michalewicz;de_best_2
42;5.415875767440208;12;12;michalewicz;de_best_2
43;5.415875767440208;12;12;michalewicz;de_best_2
44;5.415875767440208;12;12;michalewicz;de_best_2
45;5.415875767440208;12;12;michalewicz;de_best_2
46;5.415875767440208;12;12;michalewicz;de_best_2
47;5.415875767440208;12;12;michalewicz;de_best_2
48;5.415875767440208;12;12;michalewicz;de_best_2
49;5.415875767440208;12;12;michalewicz;de_best_2
50;5.415875767440208;12;12;michalewicz;de_best_2
51;5.415875767440208;12;12;michalewicz;de_best_2
52;5.415875767440208;12;12;michalewicz;de_best_2
53;5.415875767440208;12;12;michalewicz;de_best_2
54;5.415875767440208;12;12;michalewicz;de_best_2
55;5.415875767440208;12;12;michalewicz;de_best_2
56;5.415875767440208;12;12;michalewicz;de_best_2
57;5.415875767440208;12;12;michalewicz;de_best_2
58;5.415875767440208;12;12;michalewicz;de_best_2
59;5.415875767440208;12;12;michalewicz;de_best_2
60;5.415875767440208;12;12;michalewicz;de_best_2
61;5.415875767440208;12;12;michalewicz;de_best_2
62;5.415875767440208;12;12;michalewicz;de_best_2
63;5.415875767440208;12;12;michalewicz;de_best_2
64;5.415875767440208;12;12;michalewicz;de_best_2
65;5.415875767440208;12;12;michalewicz;de_best_2
66;5.415875767440208;12;12;michalewicz;de_best_2
67;5.415875767440208;12;12;michalewicz;de_best_2
68;5.415875767440208;12;12;michalewicz;de_best_2
69;5.415875767440208;12;12;michalewicz;de_best_2
70;5.415875767440215;12;12;michalewicz;de_best_2
71;5.812149679746863;12;12;michalewicz;de_best_2
72;5.812149679746863;12;12;michalewicz;de_best_2
73;5.812149679746863;12;12;michalewicz;de_best_2
74;5.812149679746863;12;12;michalewicz;de_best_2
75;5.812149679746863;12;12;michalewicz;de_best_2
76;5.812149679746863;12;12;michalewicz;de_best_2
77;5.812149679746863;12;12;michalewicz;de_best_2
78;5.812149679746863;12;12;michalewicz;de_best_2
79;5.812149679746863;12;12;michalewicz;de_best_2
80;5.812149679746863;12;12;michalewicz;de_best_2
81;5.812149679746863;12;12;michalewicz;de_best_2
82;5.812149679746863;12;12;michalewicz;de_best_2
83;5.812149679746863;12;12;michalewicz;de_best_2
84;5.812149679746863;12;12;michalewicz;de_best_2
85;5.812149679746863;12;12;michalewicz;de_best_2
86;5.812149679746863;12;12;michalewicz;de_best_2
87;5.812149679746863;12;12;michalewicz;de_best_2
88;5.812149679746863;12;12;michalewicz;de_best_2
89;5.812149679746863;12;12;michalewicz;de_best_2
90;5.812149679746863;12;12;michalewicz;de_best_2
91;5.812149679746863;12;12;michalewicz;de_best_2
92;5.812149679746863;12;12;michalewicz;de_best_2
93;5.812149679746863;12;12;michalewicz;de_best_2
94;5.812149679746863;12;12;michalewicz;de_best_2
95;5.812149679746863;12;12;michalewicz;de_best_2
96;5.812149679746863;12;12;michalewicz;de_best_2
97;5.812149679746863;12;12;michalewicz;de_best_2
98;5.812149679746863;12;12;michalewicz;de_best_2
99;5.812149679746863;12;12;michalewicz;de_best_2
0;4.821256810427084;12;16;michalewicz;de_best_2
1;4.821256810427084;12;16;michalewicz;de_best_2
2;4.821256810427084;12;16;michalewicz;de_best_2
3;4.821256810427084;12;16;michalewicz;de_best_2
4;4.821256810427084;12;16;michalewicz;de_best_2
5;4.821256810427084;12;16;michalewicz;de_best_2
6;4.821256810427084;12;16;michalewicz;de_best_2
7;4.821256810427084;12;16;michalewicz;de_best_2
8;4.821256810427084;12;16;michalewicz;de_best_2
9;4.821256810427084;12;16;michalewicz;de_best_2
10;5.120532289754846;12;16;michalewicz;de_best_2
11;5.120532289754846;12;16;michalewicz;de_best_2
12;5.120532289754846;12;16;michalewicz;de_best_2
13;5.120532289754846;12;16;michalewicz;de_best_2
14;5.120532289754846;12;16;michalewicz;de_best_2
15;5.120532289754846;12;16;michalewicz;de_best_2
16;5.120532289754846;12;16;michalewicz;de_best_2
17;5.120532289754846;12;16;michalewicz;de_best_2
18;5.120532289754846;12;16;michalewicz;de_best_2
19;5.321659399263762;12;16;michalewicz;de_best_2
20;5.321659399263762;12;16;michalewicz;de_best_2
21;5.321659399263762;12;16;michalewicz;de_best_2
22;5.462969158134149;12;16;michalewicz;de_best_2
23;5.462969158134149;12;16;michalewicz;de_best_2
24;5.462969158134149;12;16;michalewicz;de_best_2
25;5.462969158134149;12;16;michalewicz;de_best_2
26;5.462969158134149;12;16;michalewicz;de_best_2
27;5.462969158134149;12;16;michalewicz;de_best_2
28;5.462969158134149;12;16;michalewicz;de_best_2
29;5.462969158134149;12;16;michalewicz;de_best_2
30;5.462969158134149;12;16;michalewicz;de_best_2
31;5.462969158134149;12;16;michalewicz;de_best_2
32;5.462969158134149;12;16;michalewicz;de_best_2
33;5.462969158134149;12;16;michalewicz;de_best_2
34;5.462969158134149;12;16;michalewicz;de_best_2
35;5.462969158134149;12;16;michalewicz;de_best_2
36;5.462969158134149;12;16;michalewicz;de_best_2
37;5.462969158134149;12;16;michalewicz;de_best_2
38;5.462969158134149;12;16;michalewicz;de_best_2
39;5.462969158134149;12;16;michalewicz;de_best_2
40;5.901406369972522;12;16;michalewicz;de_best_2
41;5.901406369972522;12;16;michalewicz;de_best_2
42;5.901406369972522;12;16;michalewicz;de_best_2
43;5.901406369972522;12;16;michalewicz;de_best_2
44;5.901406369972522;12;16;michalewicz;de_best_2
45;5.901406369972522;12;16;michalewicz;de_best_2
46;5.901406369972522;12;16;michalewicz;de_best_2
47;5.901406369972522;12;16;michalewicz;de_best_2
48;5.901406369972522;12;16;michalewicz;de_best_2
49;5.901406369972522;12;16;michalewicz;de_best_2
50;5.901406369972522;12;16;michalewicz;de_best_2
51;5.901406369972522;12;16;michalewicz;de_best_2
52;5.901406369972522;12;16;michalewicz;de_best_2
53;5.901406369972522;12;16;michalewicz;de_best_2
54;6.805666323713126;12;16;michalewicz;de_best_2
55;6.805666323713126;12;16;michalewicz;de_best_2
56;6.805666323713126;12;16;michalewicz;de_best_2
57;6.805666323713126;12;16;michalewicz;de_best_2
58;6.805666323713126;12;16;michalewicz;de_best_2
59;6.805666323713126;12;16;michalewicz;de_best_2
60;6.805666323713126;12;16;michalewicz;de_best_2
61;6.805666323713126;12;16;michalewicz;de_best_2
62;6.805666323713126;12;16;michalewicz;de_best_2
63;6.805666323713126;12;16;michalewicz;de_best_2
64;6.805666323713126;12;16;michalewicz;de_best_2
65;6.805666323713126;12;16;michalewicz;de_best_2
66;6.805666323713126;12;16;michalewicz;de_best_2
67;6.805666323713126;12;16;michalewicz;de_best_2
68;6.805666323713126;12;16;michalewicz;de_best_2
69;6.805666323713126;12;16;michalewicz;de_best_2
70;6.805666323713126;12;16;michalewicz;de_best_2
71;6.805666323713126;12;16;michalewicz;de_best_2
72;6.805666323713126;12;16;michalewicz;de_best_2
73;6.805666323713126;12;16;michalewicz;de_best_2
74;6.805666323713126;12;16;michalewicz;de_best_2
75;6.805666323713126;12;16;michalewicz;de_best_2
76;6.805666323713126;12;16;michalewicz;de_best_2
77;6.805666323713126;12;16;michalewicz;de_best_2
78;6.805666323713126;12;16;michalewicz;de_best_2
79;6.805666323713126;12;16;michalewicz;de_best_2
80;6.805666323713126;12;16;michalewicz;de_best_2
81;6.805666323713126;12;16;michalewicz;de_best_2
82;6.805666323713126;12;16;michalewicz;de_best_2
83;6.805666323713126;12;16;michalewicz;de_best_2
84;6.805666323713126;12;16;michalewicz;de_best_2
85;6.805666323713126;12;16;michalewicz;de_best_2
86;6.805666323713126;12;16;michalewicz;de_best_2
87;6.805666323713126;12;16;michalewicz;de_best_2
88;6.805666323713126;12;16;michalewicz;de_best_2
89;6.805666323713126;12;16;michalewicz;de_best_2
90;6.805666323713126;12;16;michalewicz;de_best_2
91;6.805666323713126;12;16;michalewicz;de_best_2
92;6.805666323713126;12;16;michalewicz;de_best_2
93;6.805666323713126;12;16;michalewicz;de_best_2
94;6.805666323713126;12;16;michalewicz;de_best_2
95;6.805666323713126;12;16;michalewicz;de_best_2
96;6.805666323713126;12;16;michalewicz;de_best_2
97;6.805666323713126;12;16;michalewicz;de_best_2
98;6.805666323713126;12;16;michalewicz;de_best_2
99;8.164572919681913;12;16;michalewicz;de_best_2
