Iteration;Value;Population;Vector_len;Test;Mutation
96;3.315758952977983e-05;50;4;michalewicz;de_best_2
97;3.315758952977983e-05;50;4;michalewicz;de_best_2
98;3.315758952977983e-05;50;4;michalewicz;de_best_2
99;3.315758952977983e-05;50;4;michalewicz;de_best_2
0;0.002682371622682589;100;4;michalewicz;de_best_2
1;0.002682371622682589;100;4;michalewicz;de_best_2
2;0.002682371622682589;100;4;michalewicz;de_best_2
3;0.002682371622682589;100;4;michalewicz;de_best_2
4;0.002682371622682589;100;4;michalewicz;de_best_2
5;0.0008066627315741898;100;4;michalewicz;de_best_2
6;0.0008066627315741898;100;4;michalewicz;de_best_2
7;0.0008066627315741898;100;4;michalewicz;de_best_2
8;0.0008066627315741898;100;4;michalewicz;de_best_2
9;0.0008066627315741898;100;4;michalewicz;de_best_2
10;0.0008066627315741898;100;4;michalewicz;de_best_2
11;0.0008066627315741898;100;4;michalewicz;de_best_2
12;0.0006256992516025239;100;4;michalewicz;de_best_2
13;0.00043354033908143963;100;4;michalewicz;de_best_2
14;0.00043354033908143963;100;4;michalewicz;de_best_2
15;0.00043354033908143963;100;4;michalewicz;de_best_2
16;0.00043354033908143963;100;4;michalewicz;de_best_2
17;0.00043354033908143963;100;4;michalewicz;de_best_2
18;0.00043354033908143963;100;4;michalewicz;de_best_2
19;0.00043354033908143963;100;4;michalewicz;de_best_2
20;0.00043354033908143963;100;4;michalewicz;de_best_2
21;0.00043354033908143963;100;4;michalewicz;de_best_2
22;0.00043354033908143963;100;4;michalewicz;de_best_2
23;0.00043354033908143963;100;4;michalewicz;de_best_2
24;0.00043354033908143963;100;4;michalewicz;de_best_2
25;0.00043354033908143963;100;4;michalewicz;de_best_2
26;0.00043354033908143963;100;4;michalewicz;de_best_2
27;0.00043354033908143963;100;4;michalewicz;de_best_2
28;0.00043354033908143963;100;4;michalewicz;de_best_2
29;0.00043354033908143963;100;4;michalewicz;de_best_2
30;0.00043354033908143963;100;4;michalewicz;de_best_2
31;0.00043354033908143963;100;4;michalewicz;de_best_2
32;0.00043354033908143963;100;4;michalewicz;de_best_2
33;0.00043354033908143963;100;4;michalewicz;de_best_2
34;0.00043354033908143963;100;4;michalewicz;de_best_2
35;0.00043354033908143963;100;4;michalewicz;de_best_2
36;0.00043354033908143963;100;4;michalewicz;de_best_2
37;0.00043354033908143963;100;4;michalewicz;de_best_2
38;0.00043354033908143963;100;4;michalewicz;de_best_2
39;0.00043354033908143963;100;4;michalewicz;de_best_2
40;0.00043354033908143963;100;4;michalewicz;de_best_2
41;0.00043354033908143963;100;4;michalewicz;de_best_2
42;0.00043354033908143963;100;4;michalewicz;de_best_2
43;0.00043354033908143963;100;4;michalewicz;de_best_2
44;0.00043354033908143963;100;4;michalewicz;de_best_2
45;0.00043354033908143963;100;4;michalewicz;de_best_2
46;0.00043354033908143963;100;4;michalewicz;de_best_2
47;0.00043354033908143963;100;4;michalewicz;de_best_2
48;0.00043354033908143963;100;4;michalewicz;de_best_2
49;0.00043354033908143963;100;4;michalewicz;de_best_2
50;0.00043354033908143963;100;4;michalewicz;de_best_2
51;0.00043354033908143963;100;4;michalewicz;de_best_2
52;0.00043354033908143963;100;4;michalewicz;de_best_2
53;0.00043354033908143963;100;4;michalewicz;de_best_2
54;0.00043354033908143963;100;4;michalewicz;de_best_2
55;0.00043354033908143963;100;4;michalewicz;de_best_2
56;0.00043354033908143963;100;4;michalewicz;de_best_2
57;0.00043354033908143963;100;4;michalewicz;de_best_2
58;0.00043354033908143963;100;4;michalewicz;de_best_2
59;0.00043354033908143963;100;4;michalewicz;de_best_2
60;0.00043354033908143963;100;4;michalewicz;de_best_2
61;0.00043354033908143963;100;4;michalewicz;de_best_2
62;0.00043354033908143963;100;4;michalewicz;de_best_2
63;0.00043354033908143963;100;4;michalewicz;de_best_2
64;0.00043354033908143963;100;4;michalewicz;de_best_2
65;0.00043354033908143963;100;4;michalewicz;de_best_2
66;0.00043354033908143963;100;4;michalewicz;de_best_2
67;0.00043354033908143963;100;4;michalewicz;de_best_2
68;0.00043354033908143963;100;4;michalewicz;de_best_2
69;0.00043354033908143963;100;4;michalewicz;de_best_2
70;0.00021992206038776716;100;4;michalewicz;de_best_2
71;0.00021992206038776716;100;4;michalewicz;de_best_2
72;0.00021992206038776716;100;4;michalewicz;de_best_2
73;0.00021992206038776716;100;4;michalewicz;de_best_2
74;0.00021992206038776716;100;4;michalewicz;de_best_2
75;0.00021992206038776716;100;4;michalewicz;de_best_2
76;0.00021992206038776716;100;4;michalewicz;de_best_2
77;0.00021992206038776716;100;4;michalewicz;de_best_2
78;0.00021992206038776716;100;4;michalewicz;de_best_2
79;0.00021992206038776716;100;4;michalewicz;de_best_2
80;0.000210703226876161;100;4;michalewicz;de_best_2
81;0.000210703226876161;100;4;michalewicz;de_best_2
82;0.000210703226876161;100;4;michalewicz;de_best_2
83;0.000210703226876161;100;4;michalewicz;de_best_2
84;0.000210703226876161;100;4;michalewicz;de_best_2
85;0.000210703226876161;100;4;michalewicz;de_best_2
86;0.000210703226876161;100;4;michalewicz;de_best_2
87;0.000210703226876161;100;4;michalewicz;de_best_2
88;0.000210703226876161;100;4;michalewicz;de_best_2
89;0.000210703226876161;100;4;michalewicz;de_best_2
90;0.000210703226876161;100;4;michalewicz;de_best_2
91;0.000210703226876161;100;4;michalewicz;de_best_2
92;0.000210703226876161;100;4;michalewicz;de_best_2
93;0.000210703226876161;100;4;michalewicz;de_best_2
94;0.000210703226876161;100;4;michalewicz;de_best_2
95;0.000210703226876161;100;4;michalewicz;de_best_2
96;0.000210703226876161;100;4;michalewicz;de_best_2
97;0.000210703226876161;100;4;michalewicz;de_best_2
98;0.000210703226876161;100;4;michalewicz;de_best_2
99;0.000210703226876161;100;4;michalewicz;de_best_2
0;0.0025632884183868403;200;4;michalewicz;de_best_2
1;0.0025632884183868403;200;4;michalewicz;de_best_2
2;0.0025632884183868403;200;4;michalewicz;de_best_2
3;0.0025632884183868403;200;4;michalewicz;de_best_2
4;0.0025632884183868403;200;4;michalewicz;de_best_2
5;0.000728785530861361;200;4;michalewicz;de_best_2
6;0.000728785530861361;200;4;michalewicz;de_best_2
7;9.572509927568973e-05;200;4;michalewicz;de_best_2
8;9.572509927568973e-05;200;4;michalewicz;de_best_2
9;9.572509927568973e-05;200;4;michalewicz;de_best_2
10;9.572509927568973e-05;200;4;michalewicz;de_best_2
11;9.572509927568973e-05;200;4;michalewicz;de_best_2
12;9.572509927568973e-05;200;4;michalewicz;de_best_2
13;6.787602516244995e-05;200;4;michalewicz;de_best_2
14;6.787602516244995e-05;200;4;michalewicz;de_best_2
15;6.787602516244995e-05;200;4;michalewicz;de_best_2
16;6.787602516244995e-05;200;4;michalewicz;de_best_2
17;6.787602516244995e-05;200;4;michalewicz;de_best_2
18;6.787602516244995e-05;200;4;michalewicz;de_best_2
19;6.787602516244995e-05;200;4;michalewicz;de_best_2
20;6.787602516244995e-05;200;4;michalewicz;de_best_2
21;6.787602516244995e-05;200;4;michalewicz;de_best_2
